"","word","n"
"1","the",97
"2","to",77
"3","and",45
"4","of",36
"5","in",33
"6","a",24
"7","uk",23
"8","i",22
"9","today",21
"10","with",21
"11","for",17
"12","is",17
"13","we",14
"14","on",12
"15","at",11
"16","are",10
"17","great",10
"18","s",10
"19","global",9
"20","have",9
"21","this",9
"22","amp",8
"23","be",8
"24","by",8
"25","good",8
"26","minister",8
"27","our",8
"28","an",7
"29","education",7
"30","girls",7
"31","meet",7
"32","as",6
"33","congratulations",6
"34","meeting",6
"35","my",6
"36","out",6
"37","will",6
"38","g7",5
"39","one",5
"40","part",5
"41","slovakia",5
"42","th",5
"43","visit",5
"44","work",5
"45","world",5
"46","2",4
"47","all",4
"48","been",4
"49","between",4
"50","croatia",4
"51","croatian",4
"52","delighted",4
"53","foreign",4
"54","forward",4
"55","future",4
"56","hungary",4
"57","international",4
"58","off",4
"59","rights",4
"60","state",4
"61","thank",4
"62","that",4
"63","who",4
"64","year",4
"65","you",4
"66","about",3
"67","affairs",3
"68","c",3
"69","campaigning",3
"70","change",3
"71","citizens",3
"72","climate",3
"73","climatechange",3
"74","discuss",3
"75","during",3
"76","educating",3
"77","euro2020",3
"78","every",3
"79","first",3
"80","from",3
"81","gbspringclean",3
"82","had",3
"83","it",3
"84","joint",3
"85","like",3
"86","look",3
"87","luck",3
"88","met",3
"89","million",3
"90","more",3
"91","now",3
"92","over",3
"93","partners",3
"94","people",3
"95","prime",3
"96","response",3
"97","school",3
"98","see",3
"99","senior",3
"100","slovak",3
"101","t",3
"102","their",3
"103","they",3
"104","together",3
"105","was",3
"106","weekend",3
"107","which",3
"108","1",2
"109","100",2
"110","19",2
"111","able",2
"112","again",2
"113","agreement",2
"114","aids",2
"115","back",2
"116","belarus",2
"117","best",2
"118","borutpahor",2
"119","both",2
"120","british",2
"121","can",2
"122","candidate",2
"123","chance",2
"124","cllr",2
"125","concerned",2
"126","cooperation",2
"127","costarica",2
"128","covid",2
"129","crucial",2
"130","days",2
"131","deep",2
"132","deputy",2
"133","ending",2
"134","engaging",2
"135","equality",2
"136","european",2
"137","everyone",2
"138","excellent",2
"139","few",2
"140","forefront",2
"141","gender",2
"142","get",2
"143","girl",2
"144","has",2
"145","health",2
"146","held",2
"147","high",2
"148","historic",2
"149","hiv",2
"150","hungarian",2
"151","iceland",2
"152","including",2
"153","italy",2
"154","italymfa",2
"155","its",2
"156","just",2
"157","kick",2
"158","level",2
"159","lgbt",2
"160","liechtenstein",2
"161","lunch",2
"162","m",2
"163","make",2
"164","media",2
"165","meetings",2
"166","member",2
"167","morning",2
"168","next",2
"169","nicaragua",2
"170","norway",2
"171","officials",2
"172","opposition",2
"173","pandemic",2
"174","pleasure",2
"175","political",2
"176","president",2
"177","protects",2
"178","real",2
"179","relationship",2
"180","ryan",2
"181","secretary",2
"182","session",2
"183","side",2
"184","sloukfriendshipday",2
"185","slovenia",2
"186","start",2
"187","step",2
"188","stephenson",2
"189","strong",2
"190","tackle",2
"191","tax",2
"192","thanks",2
"193","ties",2
"194","took",2
"195","two",2
"196","un",2
"197","vaccines",2
"198","visited",2
"199","warm",2
"200","ways",2
"201","welcome",2
"202","wherever",2
"203","why",2
"204","years",2
"205","yesterday",2
"206","your",2
"207","zagreb",2
"208","1.4",1
"209","20",1
"210","2017",1
"211","2021",1
"212","2030.",1
"213","30",1
"214","38",1
"215","40",1
"216","400",1
"217","430",1
"218","47",1
"219","5",1
"220","7",1
"221","74",1
"222","75",1
"223","98",1
"224","accelerate",1
"225","access",1
"226","across",1
"227","action",1
"228","activists",1
"229","adopted",1
"230","advances",1
"231","advisor",1
"232","affected",1
"233","after",1
"234","afternoon",1
"235","against",1
"236","aged",1
"237","agree",1
"238","ahead",1
"239","akande",1
"240","aldridge",1
"241","along",1
"242","also",1
"243","alumni",1
"244","am",1
"245","ambassador",1
"246","ambitious",1
"247","andrejametelko",1
"248","andrejplenkovic",1
"249","anniversary",1
"250","announced",1
"251","applications",1
"252","apply",1
"253","armenia",1
"254","around",1
"255","arrested",1
"256","arrests",1
"257","art",1
"258","asf",1
"259","assembly",1
"260","assistant",1
"261","attacks",1
"262","auschwitz",1
"263","authorities",1
"264","azerbaijan",1
"265","balkans",1
"266","barcelona",1
"267","batley",1
"268","batleyandspen",1
"269","bay",1
"270","became",1
"271","becoming",1
"272","before",1
"273","being",1
"274","belarusian",1
"275","bencic",1
"276","bendellavedova",1
"277","berlinprocess",1
"278","bilateral",1
"279","birmingham",1
"280","bn",1
"281","border",1
"282","borisjohnson",1
"283","bratisl",1
"284","breadth",1
"285","bright",1
"286","brighter",1
"287","britishcouncil",1
"288","brownhills",1
"289","building",1
"290","business",1
"291","busy",1
"292","but",1
"293","cambrils",1
"294","came",1
"295","carbis",1
"296","carbon",1
"297","carriesymonds",1
"298","catch",1
"299","celebrate",1
"300","celebrates",1
"301","cf",1
"302","challenges",1
"303","championship",1
"304","charges",1
"305","chief",1
"306","chile",1
"307","clim",1
"308","closer",1
"309","cmszagreb",1
"310","coalition",1
"311","come",1
"312","commission",1
"313","committed",1
"314","committee",1
"315","committees",1
"316","commonwealth",1
"317","competition",1
"318","completely",1
"319","concern",1
"320","concluded",1
