"","word","n"
"1","the",277
"2","of",154
"3","to",151
"4","in",110
"5","a",96
"6","and",74
"7","china",70
"8","is",69
"9","s",61
"10","us",56
"11","it",42
"12","for",40
"13","with",40
"14","on",37
"15","by",32
"16","will",30
"17","has",29
"18","its",28
"19","people",28
"20","that",27
"21","was",26
"22","as",23
"23","been",23
"24","from",22
"25","are",21
"26","what",20
"27","we",19
"28","this",18
"29","an",17
"30","japan",17
"31","up",17
"32","world",17
"33","xinjiang",17
"34","can",15
"35","they",15
"36","at",14
"37","be",14
"38","have",14
"39","no",14
"40","rights",14
"41","he",13
"42","never",13
"43","not",13
"44","she",13
"45","about",12
"46","human",12
"47","nuclear",12
"48","or",12
"49","all",11
"50","countries",11
"51","so",11
"52","there",11
"53","when",11
"54","any",10
"55","children",10
"56","how",10
"57","i",10
"58","international",10
"59","into",10
"60","more",10
"61","out",10
"62","based",9
"63","but",9
"64","decision",9
"65","rice",9
"66","t",9
"67","training",9
"68","water",9
"69","center",8
"70","community",8
"71","contaminated",8
"72","cooperation",8
"73","cover",8
"74","government",8
"75","lies",8
"76","year",8
"77","anti",7
"78","chinese",7
"79","common",7
"80","country",7
"81","even",7
"82","first",7
"83","her",7
"84","humanrights",7
"85","just",7
"86","labor",7
"87","long",7
"88","many",7
"89","once",7
"90","only",7
"91","pakistan",7
"92","palestinian",7
"93","rok",7
"94","should",7
"95","some",7
"96","who",7
"97","after",6
"98","bbc",6
"99","called",6
"100","data",6
"101","education",6
"102","evidence",6
"103","floyd",6
"104","future",6
"105","global",6
"106","hybrid",6
"107","instead",6
"108","itself",6
"109","may",6
"110","one",6
"111","science",6
"112","see",6
"113","state",6
"114","two",6
"115","vocational",6
"116","which",6
"117","why",6
"118","work",6
"119","yuanlongping",6
"120","000",5
"121","affairs",5
"122","against",5
"123","child",5
"124","domestic",5
"125","fabricated",5
"126","fukushima",5
"127","genocide",5
"128","high",5
"129","including",5
"130","intelligence",5
"131","investigation",5
"132","japanese",5
"133","measures",5
"134","million",5
"135","minister",5
"136","over",5
"137","palestine",5
"138","peace",5
"139","public",5
"140","real",5
"141","reports",5
"142","take",5
"143","th",5
"144","than",5
"145","tribunal",5
"146","truth",5
"147","war",5
"148","10",4
"149","again",4
"150","always",4
"151","american",4
"152","claimed",4
"153","claims",4
"154","clear",4
"155","come",4
"156","conflict",4
"157","damage",4
"158","development",4
"159","diplomacy",4
"160","discharge",4
"161","end",4
"162","facts",4
"163","famous",4
"164","free",4
"165","health",4
"166","if",4
"167","israel",4
"168","law",4
"169","like",4
"170","lives",4
"171","local",4
"172","mankind",4
"173","media",4
"174","moral",4
"175","other",4
"176","others",4
"177","pay",4
"178","president",4
"179","question",4
"180","relations",4
"181","relevant",4
"182","said",4
"183","such",4
"184","them",4
"185","then",4
"186","today",4
"187","under",4
"188","western",4
"189","would",4
"190","wrong",4
"191","years",4
"192","yuan",4
"193","1",3
"194","200",3
"195","2021",3
"196","4",3
"197","accident",3
"198","according",3
"199","agriculture",3
"200","among",3
"201","another",3
"202","asia",3
"203","assistance",3
"204","australian",3
"205","back",3
"206","before",3
"207","being",3
"208","between",3
"209","big",3
"210","bilateral",3
"211","blind",3
"212","both",3
"213","british",3
"214","call",3
"215","calls",3
"216","canada",3
"217","cannot",3
"218","carrying",3
"219","case",3
"220","cases",3
"221","cause",3
"222","competition",3
"223","concerns",3
"224","confrontation",3
"225","continue",3
"226","court",3
"227","day",3
"228","deeply",3
"229","desperate",3
"230","disposal",3
"231","does",3
"232","doing",3
"233","don",3
"234","ecology",3
"235","efforts",3
"236","enough",3
"237","europe",3
"238","eye",3
"239","fact",3
"240","family",3
"241","far",3
"242","foreign",3
"243","found",3
"244","full",3
"245","geopolitical",3
"246","germany",3
"247","given",3
"248","ground",3
"249","had",3
"250","hear",3
"251","help",3
"252","his",3
"253","history",3
"254","hold",3
"255","home",3
"256","hope",3
"257","industry",3
"258","information",3
"259","interest",3
"260","interesting",3
"261","interview",3
"262","israeli",3
"263","issue",3
"264","joined",3
"265","kashmir",3
"266","keeps",3
"267","land",3
"268","look",3
"269","made",3
"270","major",3
"271","making",3
"272","much",3
"273","new",3
"274","news",3
"275","ocean",3
"276","old",3
"277","order",3
"278","organ",3
"279","origins",3
"280","our",3
"281","owes",3
"282","own",3
"283","pacific",3
"284","part",3
"285","per",3
"286","political",3
"287","politicians",3
"288","prime",3
"289","problem",3
"290","pseudo",3
"291","racism",3
"292","research",3
"293","right",3
"294","scapegoat",3
"295","sea",3
"296","sense",3
"297","show",3
"298","shows",3
"299","since",3
"300","spread",3
"301","start",3
"302","stories",3
"303","strategic",3
"304","study",3
"305","taiwan",3
"306","talks",3
"307","team",3
"308","tepco",3
"309","terrorist",3
"310","their",3
"311","those",3
"312","time",3
"313","times",3
"314","together",3
"315","too",3
"316","transparent",3
"317","trust",3
"318","ups",3
"319","urged",3
"320","use",3
"321","uyghur",3
"322","video",3
"323","violence",3
"324","virus",3
"325","welcomes",3
"326","wha",3
"327","while",3
"328","white",3
"329","you",3
"330","150",2
"331","19",2
"332","20",2
"333","2019",2
"334","2019.",2
"335","21",2
"336","22",2
"337","5",2
"338","6",2
"339","600",2
"340","80",2
"341","abused",2
"342","across",2
"343","act",2
"344","activities",2
"345","advance",2
"346","africa",2
"347","agencies",2
"348","aim",2
"349","also",2
"350","americans",2
"351","amid",2
"352","anniversary",2
"353","apology",2
"354","appreciate",2
"355","approach",2
"356","ask",2
"357","attacks",2
"358","attempts",2
"359","away",2
"360","beacon",2
"361","beautiful",2
"362","behavior",2
"363","believe",2
"364","benefits",2
"365","better",2
"366","bio",2
"367","black",2
"368","breathe",2
"369","bri",2
"370","camps",2
"371","ceremony",2
"372","change",2
"373","cheated",2
"374","check",2
"375","chose",2
"376","cia",2
"377","clumsy",2
"378","college",2
"379","collusion",2
"380","company",2
"381","concern",2
"382","condolences",2
"383","conduct",2
"384","congress",2
"385","consequences",2
"386","continues",2
"387","cool",2
"388","cooperative",2
"389","costs",2
"390","counter",2
"391","countless",2
"392","courses",2
"393","covid19",2
"394","credibility",2
"395","criminal",2
"396","criticizes",2
"397","criticizing",2
"398","crown",2
"399","cry",2
"400","culture",2
"401","days",2
"402","deaths",2
"403","defender",2
"404","delegation",2
"405","democracy",2
"406","developed",2
"407","dialogue",2
"408","did",2
"409","diplomatic",2
"410","discrimination",2
"411","disinformation",2
"412","disregard",2
"413","do",2
"414","dozens",2
"415","dr",2
"416","driven",2
"417","early",2
"418","earth",2
"419","east",2
"420","ecological",2
"421","economic",2
"422","empire",2
"423","energy",2
"424","enjoy",2
"425","entire",2
"426","environment",2
"427","ethnic",2
"428","european",2
"429","everything",2
"430","evil",2
"431","experiment",2
"432","express",2
"433","false",2
"434","fell",2
"435","find",2
"436","fled",2
"437","forced",2
"438","forces",2
"439","former",2
"440","four",2
"441","freedom",2
"442","friends",2
"443","george",2
"444","glass",2
"445","glory",2
"446","gov",2
"447","greater",2
"448","group",2
"449","groups",2
"450","guise",2
"451","hands",2
"452","harvest",2
"453","hate",2
"454","hatred",2
"455","held",2
"456","here",2
"457","hidden",2
"458","hong",2
"459","hours",2
"460","house",2
"461","humanity",2
"462","iceberg",2
"463","imagine",2
"464","immediately",2
"465","incident",2
"466","indian",2
"467","indigenous",2
"468","integral",2
"469","interests",2
"470","islands",2
"471","jinping",2
"472","joint",2
"473","july",2
"474","keep",2
"475","khan",2
"476","kong",2
"477","lab",2
"478","labs",2
"479","last",2
"480","later",2
"481","leak",2
"482","let",2
"483","lied",2
"484","live",2
"485","make",2
"486","malicious",2
"487","manipulated",2
"488","mark",2
"489","marks",2
"490","matter",2
"491","means",2
"492","meddle",2
"493","meddling",2
"494","member",2
"495","military",2
"496","most",2
"497","motive",2
"498","moves",2
"499","muslims",2
"500","must",2
"501","national",2
"502","nature",2
"503","next",2
"504","nothing",2
"505","notorious",2
"506","now",2
"507","number",2
"508","official",2
"509","open",2
"510","outbreaks",2
"511","override",2
"512","pakistani",2
"513","palestinebleeding",2
"514","pandemic",2
"515","parties",2
"516","past",2
"517","playing",2
"518","point",2
"519","police",2
"520","policy",2
"521","politics",2
"522","poor",2
"523","powder",2
"524","power",2
"525","powers",2
"526","problems",2
"527","producing",2
"528","program",2
"529","progress",2
"530","project",2
"531","promote",2
"532","promoting",2
"533","prosperity",2
"534","province",2
"535","puppet",2
"536","purpose",2
"537","race",2
"538","rational",2
"539","record",2
"540","region",2
"541","reliable",2
"542","reminds",2
"543","residential",2
"544","resorts",2
"545","respond",2
"546","reverse",2
"547","rumors",2
"548","safe",2
"549","school",2
"550","secure",2
"551","seems",2
"552","self",2
"553","selfish",2
"554","separatist",2
"555","seriously",2
"556","set",2
"557","sides",2
"558","slaves",2
"559","smear",2
"560","society",2
"561","solomon",2
"562","special",2
"563","speculation",2
"564","spent",2
"565","stability",2
"566","staged",2
"567","stained",2
"568","standards",2
"569","statement",2
"570","statistics",2
"571","still",2
"572","stole",2
"573","story",2
"574","strings",2
"575","support",2
"576","theory",2
"577","things",2
"578","threat",2
"579","through",2
"580","tip",2
"581","told",2
"582","trade",2
"583","trick",2
"584","tried",2
"585","trouble",2
"586","turning",2
"587","turpan",2
"588","ulterior",2
"589","unsc",2
"590","using",2
"591","uygur",2
"592","vaccine",2
"593","variety",2
"594","venezuela",2
"595","via",2
"596","victory",2
"597","violation",2
"598","violations",2
"599","way",2
"600","were",2
"601","where",2
"602","whole",2
"603","win",2
"604","won",2
"605","worked",2
"606","working",2
"607","xi",2
"608","yet",2
"609","yield",2
"610","zealand",2
"611","1.",1
"612","10.8",1
"613","120",1
"614","13",1
"615","14",1
"616","151",1
"617","17",1
"618","18",1
"619","1970",1
"620","1980",1
"621","2.",1
"622","20-",1
"623","2000",1
"624","2000.",1
"625","2003",1
"626","2006.",1
"627","2014",1
"628","2016",1
"629","2021.",1
