"","word","n"
"1","the",11
"2","and",8
"3","a",7
"4","on",6
"5","to",6
"6","3",5
"7","of",5
"8","with",5
"9","china",4
"10","in",4
"11","asean",3
"12","discussion",3
"13","had",3
"14","19",2
"15","also",2
"16","an",2
"17","as",2
"18","chair",2
"19","congratulations",2
"20","covid",2
"21","digitalisation",2
"22","for",2
"23","foreign",2
"24","meeting",2
"25","minister",2
"26","our",2
"27","ranging",2
"28","singapore",2
"29","thanks",2
"30","wide",2
"31","1",1
"32","2",1
"33","30",1
"34","after",1
"35","air",1
"36","another",1
"37","are",1
"38","asiasociety",1
"39","be",1
"40","bilateral",1
"41","buddhist",1
"42","burhangafoor",1
"43","cannot",1
"44","chat",1
"45","chongqing",1
"46","code",1
"47","committed",1
"48","compassion",1
"49","comprehensive",1
"50","conclude",1
"51","conclusion",1
"52","conduct",1
"53","continue",1
"54","councilor",1
"55","countries",1
"56","day",1
"57","delighted",1
"58","delivered",1
"59","dialogue",1
"60","drsjaishankar",1
"61","early",1
"62","edmarkey",1
"63","effective",1
"64","election",1
"65","eu",1
"66","expressed",1
"67","facts",1
"68","firstmove",1
"69","focus",1
"70","friends",1
"71","g",1
"72","g20",1
"73","global",1
"74","good",1
"75","governance",1
"76","group",1
"77","happy",1
"78","have",1
"79","helping",1
"80","humorous",1
"81","i",1
"82","introdu",1
"83","is",1
"84","issues",1
"85","jchatterleycnn",1
"86","let",1
"87","lively",1
"88","message",1
"89","ministers",1
"90","more",1
"91","mot",1
"92","mrkrudd",1
"93","myanmar",1
"94","n",1
"95","new",1
"96","no",1
"97","one",1
"98","open",1
"99","permanent",1
"100","pleased",1
"101","pmaurericrc",1
"102","politicians",1
"103","prc",1
"104","range",1
"105","relations",1
"106","relevant",1
"107","representative",1
"108","research",1
"109","resolving",1
"110","respective",1
"111","s",1
"112","sacfmm",1
"113","sea",1
"114","serious",1
"115","session",1
"116","should",1
"117","singaporecaas",1
"118","singaporeun",1
"119","singlish",1
"120","situation",1
"121","south",1
"122","special",1
"123","state",1
"124","stick",1
"125","substantive",1
"126","successful",1
"127","suppo",1
"128","th",1
"129","there",1
"130","today",1
"131","tolerance",1
"132","transiting",1
"133","transport",1
"134","troika",1
"135","us",1
"136","vaccination",1
"137","values",1
"138","variant",1
"139","vesak",1
"140","video",1
"141","visited",1
"142","visiting",1
"143","w",1
"144","wang",1
"145","was",1
"146","we",1
"147","welcomed",1
"148","who",1
"149","yi",1
"150","your",1
