"","doc_id","word"
"1",1,"this"
"2",2,"is"
"3",3,"not"
"4",4,"forceddance"
"5",5,"local"
"6",6,"people"
"7",7,"of"
"8",8,"various"
"9",9,"ethnic"
"10",10,"groups"
"11",11,"danced"
"12",12,"to"
"13",13,"celebrate"
"14",14,"the"
"15",15,"eid"
"16",16,"al"
"17",17,"fitr"
"18",18,"in"
"19",19,"kashgar"
"20",20,"in"
"21",21,"xinjiang"
"22",22,"at"
"23",23,"the"
"24",24,"square"
"25",25,"in"
"26",26,"front"
"27",27,"of"
"28",28,"the"
"29",29,"famous"
"30",30,"id"
"31",31,"kah"
"32",32,"mosque"
"33",33,"australian"
"34",34,"industry"
"35",35,"group"
"36",36,"chief"
"37",37,"executive"
"38",38,"innes"
"39",39,"willox"
"40",40,"urged"
"41",41,"the"
"42",42,"gov"
"43",43,"to"
"44",44,"calm"
"45",45,"tensions"
"46",46,"with"
"47",47,"china"
"48",48,"through"
"49",49,"negotiation"
"50",50,"common"
"51",51,"sense"
"52",52,"diplomacy"
"53",53,"called"
"54",54,"for"
"55",55,"an"
"56",56,"end"
"57",57,"to"
"58",58,"inflammatory"
"59",59,"language"
"60",60,"we"
"61",61,"hope"
"62",62,"the"
"63",63,"australian"
"64",64,"gov"
"65",65,"will"
"66",66,"take"
"67",67,"china"
"68",68,"s"
"69",69,"concerns"
"70",70,"seriously"
"71",71,"heed"
"72",72,"rational"
"73",73,"voices"
"74",74,"from"
"75",75,"may"
"76",76,"13"
"77",77,"to"
"78",78,"17"
"79",79,"a"
"80",80,"23-"
"81",81,"member"
"82",82,"delegation"
"83",83,"of"
"84",84,"ambassadors"
"85",85,"senior"
"86",86,"diplomats"
"87",87,"from"
"88",88,"latin"
"89",89,"american"
"90",90,"and"
"91",91,"caribbean"
"92",92,"countries"
"93",93,"visited"
"94",94,"urumqi"
"95",95,"turpan"
"96",96,"hotan"
"97",97,"in"
"98",98,"xinjiang"
"99",99,"seeing"
"100",100,"the"
"101",101,"region"
"102",102,"as"
"103",103,"it"
"104",104,"is"
"105",105,"the"
"106",106,"delegation"
"107",107,"expressed"
"108",108,"full"
"109",109,"support"
"110",110,"to"
"111",111,"xinjiang"
"112",112,"s"
"113",113,"anti"
"114",114,"terrorism"
"115",115,"deradicalization"
"116",116,"efforts"
"117",117,"what"
"118",118,"us"
"119",119,"does"
"120",120,"amid"
"121",121,"palestine"
"122",122,"israel"
"123",123,"conflict"
"124",124,"is"
"125",125,"deeply"
"126",126,"disappointing"
"127",127,"is"
"128",128,"this"
