"","word","n"
"1","the",197
"2","to",162
"3","and",119
"4","with",83
"5","of",81
"6","s",79
"7","we",68
"8","in",67
"9","today",51
"10","a",50
"11","our",49
"12","i",48
"13","for",46
"14","on",38
"15","minister",37
"16","u",35
"17","foreign",32
"18","is",28
"19","as",19
"20","about",15
"21","meet",14
"22","meeting",14
"23","spoke",14
"24","great",13
"25","my",13
"26","are",12
"27","people",12
"28","president",12
"29","was",12
"30","be",11
"31","committed",11
"32","that",11
"33","at",10
"34","by",10
"35","had",10
"36","it",10
"37","team",10
"38","their",10
"39","commitment",9
"40","costa",9
"41","human",9
"42","m",9
"43","potus",9
"44","productive",9
"45","rights",9
"46","states",9
"47","united",9
"48","visit",9
"49","all",8
"50","an",8
"51","ceasefire",8
"52","discuss",8
"53","discussed",8
"54","forward",8
"55","have",8
"56","important",8
"57","israel",8
"58","partners",8
"59","pleased",8
"60","security",8
"61","speak",8
"62","strong",8
"63","working",8
"64","am",7
"65","american",7
"66","democracy",7
"67","discussion",7
"68","efforts",7
"69","glad",7
"70","good",7
"71","his",7
"72","israeli",7
"73","leaders",7
"74","partnership",7
"75","prime",7
"76","support",7
"77","t",7
"78","violence",7
"79","who",7
"80","will",7
"81","years",7
"82","you",7
"83","conversation",6
"84","covid",6
"85","from",6
"86","has",6
"87","iceland",6
"88","more",6
"89","palestinian",6
"90","re",6
"91","reykjavik",6
"92","rica",6
"93","shared",6
"94","thank",6
"95","west",6
"96","world",6
"97","19",5
"98","america",5
"99","arcticcouncil",5
"100","celebrate",5
"101","first",5
"102","grateful",5
"103","greenland",5
"104","importance",5
"105","ministerial",5
"106","nato",5
"107","not",5
"108","one",5
"109","pleasure",5
"110","those",5
"111","very",5
"112","w",5
"113","work",5
"114","always",4
"115","amp",4
"116","anniversary",4
"117","around",4
"118","ashkenazi",4
"119","bank",4
"120","biden",4
"121","condemn",4
"122","congratulations",4
"123","constructive",4
"124","continued",4
"125","corruption",4
"126","danish",4
"127","designating",4
"128","gabi",4
"129","gaza",4
"130","hard",4
"131","help",4
"132","honor",4
"133","how",4
"134","icelandic",4
"135","including",4
"136","join",4
"137","june",4
"138","leadership",4
"139","look",4
"140","many",4
"141","members",4
"142","met",4
"143","o",4
"144","other",4
"145","over",4
"146","peace",4
"147","recognize",4
"148","recommit",4
"149","regime",4
"150","region",4
"151","see",4
"152","so",4
"153","th",4
"154","this",4
"155","urgent",4
"156","welcome",4
"157","where",4
"158","your",4
"159","abbas",3
"160","abdullah",3
"161","across",3
"162","address",3
"163","administration",3
"164","ago",3
"165","alternate",3
"166","became",3
"167","been",3
"168","bilateral",3
"169","burma",3
"170","c",3
"171","calm",3
"172","central",3
"173","chance",3
"174","continue",3
"175","continues",3
"176","cooperation",3
"177","countries",3
"178","delighted",3
"179","democratic",3
"180","denmark",3
"181","economic",3
"182","election",3
"183","eu",3
"184","f",3
"185","former",3
"186","g7",3
"187","german",3
"188","global",3
"189","government",3
"190","greenlandic",3
"191","he",3
"192","here",3
"193","history",3
"194","honored",3
"195","international",3
"196","isr",3
"197","jerusalem",3
"198","jose",3
"199","last",3
"200","looking",3
"201","may",3
"202","need",3
"203","ou",3
"204","parties",3
"205","priority",3
"206","promoting",3
"207","protect",3
"208","proud",3
"209","reaffirm",3
"210","recognizing",3
"211","reflect",3
"212","regional",3
