"","word","n"
"1","the",25
"2","of",23
"3","in",13
"4","narendramodi",10
"5","pm",10
"6","india",8
"7","secretary",8
"8","on",7
"9","a",6
"10","and",6
"11","outreach",5
"12","summit",5
"13","to",5
"14","at",4
"15","er",4
"16","virtually",4
"17","will",4
"18","amp",3
"19","be",3
"20","building",3
"21","remarks",3
"22","s",3
"23","session",3
"24","today",3
"25","1",2
"26","2021.",2
"27","are",2
"28","as",2
"29","back",2
"30","cooperation",2
"31","day",2
"32","discussions",2
"33","drsjaishankar",2
"34","eam",2
"35","economic",2
"36","energy",2
"37","for",2
"38","foreign",2
"39","from",2
"40","g7",2
"41","germany",2
"42","harshvshringla",2
"43","held",2
"44","here",2
"45","highlights",2
"46","is",2
"47","june",2
"48","kingdom",2
"49","media",2
"50","mittelstand",2
"51","one",2
"52","participated",2
"53","president",2
"54","press",2
"55","release",2
"56","response",2
"57","sessions",2
"58","st",2
"59","visiting",2
"60","with",2
"61","12-14",1
"62","19",1
"63","2015",1
"64","24",1
"65","70",1
"66","9-11",1
"67","abroad",1
"68","acknowledged",1
"69","acting",1
"70","addressed",1
"71","adp",1
"72","aiai",1
"73","all",1
"74","ambassador",1
"75","arab",1
"76","area",1
"77","areas",1
"78","aspirational",1
"79","association",1
"80","attention",1
"81","b",1
"82","bilateral",1
"83","bimstec",1
"84","borisjohnson",1
"85","both",1
"86","business",1
"87","but",1
"88","bvmw",1
"89","by",1
"90","can",1
"91","celebrate",1
"92","centered",1
"93","ceo",1
"94","certain",1
"95","chairm",1
"96","chairship",1
"97","clean",1
"98","climate",1
"99","co",1
"100","collaboration",1
"101","commemorative",1
"102","committed",1
"103","companies",1
"104","comprehensive",1
"105","concludes",1
"106","continuing",1
"107","countries",1
"108","covid",1
"109","cultural",1
"110","daniel",1
"111","development",1
"112","districts",1
"113","due",1
"114","earth",1
"115","events",1
"116","extends",1
"117","ficci",1
"118","fields",1
"119","focused",1
"120","forum",1
"121","french",1
"122","future",1
"123","g",1
"124","general",1
"125","german",1
"126","get",1
"127","green",1
"128","greener",1
"129","greetings",1
"130","had",1
"131","head",1
"132","health",1
"133","highlight",1
"134","highlighted",1
"135","how",1
"136","hy",1
"137","included",1
"138","indian",1
"139","indo",1
"140","industries",1
"141","initiatives",1
"142","international",1
"143","intra",1
"144","invitation",1
"145","isolaralliance",1
"146","issues",1
"147","its",1
"148","jointly",1
"149","kalantari",1
"150","kenya",1
"151","key",1
"152","kind",1
"153","kuwait",1
"154","l",1
"155","lauds",1
"156","launched",1
"157","local",1
"158","look",1
"159","market",1
"160","matters",1
"161","meaindia",1
"162","meeting",1
"163","met",1
"164","minister",1
"165","model",1
"166","morocco",1
"167","n",1
"168","occasion",1
"169","official",1
"170","open",1
"171","orga",1
"172","organization",1
"173","our",1
"174","outrea",1
"175","pakistan",1
"176","part",1
"177","participants",1
"178","participate",1
"179","participating",1
"180","pioneering",1
"181","playing",1
"182","po",1
"183","political",1
"184","postage",1
"185","potential",1
"186","power",1
"187","pr",1
"188","prime",1
"189","productive",1
"190","programme",1
"191","query",1
"192","regional",1
"193","related",1
"194","relationship",1
"195","released",1
"196","report",1
"197","republic",1
"198","second",1
"199","seizure",1
"200","shri",1
"201","sme",1
"202","smith",1
"203","societie",1
"204","stamp",1
"205","strategic",1
"206","strengths",1
"207","stuck",1
"208","students",1
"209","studying",1
"210","successful",1
"211","suspecte",1
"212","th",1
"213","these",1
"214","together",1
"215","tomorrow",1
"216","trading",1
"217","transition",1
"218","under",1
"219","underscored",1
"220","undp",1
"221","united",1
"222","us",1
"223","very",1
"224","vijay",1
"225","virtua",1
"226","virtuall",1
"227","warm",1
"228","was",1
"229","we",1
"230","worldenvironmentday",1
"231","years",1
